variable,problema,valor,frecuencia
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO MIXTO NOCTURNO  FRANCISCO MARROQUIN,1
ESTABLECIMIENTO,espacios multiples internos,COLEGIO  COBAN,1
ESTABLECIMIENTO,espacios multiples internos,COLEGIO PARTICULAR MIXTO  VERAPAZ,1
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO MIXTO PRIVADO  SANTO DOMINGO,1
ESTABLECIMIENTO,espacios multiples internos,COLEGIO PRIVADO  EMANUEL,1
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO PRIVADO MIXTO  JOSE RODRIGO PEREZ Y PEREZ,1
ESTABLECIMIENTO,espacios multiples internos,"INSTITUTO TECNOLOGICO  ""GERARDI""",1
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO PRIVADO URBANO MIXTO TECNICO EN COMPUTACION  ITCRB  (POR MADUREZ),1
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO PRIVADO URBANO MIXTO  LIBERACION,1
ESTABLECIMIENTO,espacios multiples internos,"INSTITUTO PRIVADO MIXTO  ""MALACATECO""",1
ESTABLECIMIENTO,espacios multiples internos,COLEGIO EVANGELICO MIXTO  CENTROAMERICANO,1
ESTABLECIMIENTO,espacios multiples internos,"INSTITUTO PARTICULAR TECNICO VOCACIONAL  ""PRACTICO MODERNO""",1
ESTABLECIMIENTO,espacios multiples internos,COLEGIO VOCACIONAL GUATEMALTECO  MENTES SANAS,1
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA  LA ENSEÑANZA,1
ESTABLECIMIENTO,espacios multiples internos,LICEO TECNOLÓGICO GUATEMALA DE LA  ASUNCION,1
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA  CENTRO DE ESTUDIOS MERCADOLOGICOS Y PUBLICITARIOS,1
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO DE EDUCACION DIVERSIFICADA COLEGIO  LA ENSEÑANZA,1
ESTABLECIMIENTO,espacios multiples internos,COLEGIO CATOLICO  SAN PABLO,1
ESTABLECIMIENTO,espacios multiples internos,COLEGIO PARTICULAR MIXTO  NIHAIB,1
ESTABLECIMIENTO,espacios multiples internos,LICEO TECNOLOGICO HUMANISTA  SAN PABLO,1
ESTABLECIMIENTO,espacios multiples internos,"COLEGIO  SALESIANO ""DON BOSCO""",1
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO PRIVADO PARA SEÑORTIAS DE EDUCACION DIVERSIFICADA COLEGIO  SUPERIOR GUATEMALTECO,1
