ESTABLECIMIENTO,Frecuencia,Porcentaje
INSTITUTO NORMAL MIXTO DEL NORTE 'EMILIO ROSALES PONCE',1,0.04
INSTITUTO DE TURSMO Y AVIACON DEL NORTE I.T.A.N,1,0.04
INSTITUTO INTERCULTRUAL ALTAVERAPACENCESE -IIAV-,1,0.04
"LICEO ""MODERNO LATINO""",1,0.04
"COLEGIO DE INFORMATICA ""CENINFAV""",1,0.04
"COLEGIO EVANGELICO ""LA PATRIA""",1,0.04
"COLEGIO ""LA LIBERTAD""",1,0.04
"INSTITUTO NORMAL PREPRIMARIA BILINGUE ADSCRITO AL INSTITUTO NORMAL MIXTO DEL NORTE ""EMILIO ROSALES PONCE""",1,0.04
CENTRO DE FORMACION INTEGRAL LAS CONCHAS FMG,1,0.04
"INSTITUTO MIXTO PRIVADO ""SALUD Y DESARROLLO""",1,0.04
COLEGIO CRISTIANO BILINGUE VERBO,1,0.04
COLEGIO NUEVOS SENDEROS,1,0.04
INSTITUTO DE MAGISTERIO DE EDUCACION PREPRIMARIA INFANTIL BILINGUE INTERCULTURAL LUZ DEL SABER,1,0.04
CENTRO DE FORMACIÓN INTEGRAL CIUDAD DE LA ESPERANZA,1,0.04
INSTITUTO MAYA COMUNITARIO K'AMOLB'E,1,0.04
COLEGIO PRIVADO MIXTO TECNOLÓGICO EN INFORMÁTICA,1,0.04
ICA,1,0.04
PROGRAMA NACIONAL DE EDUCACIÓN ALTERNATIVA PRONEA,1,0.04
OXFORD BILINGUAL SCHOOL,1,0.04
ENBI CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX-,1,0.04
LICEO PREUNIVERSITARIO DE NORTE,1,0.04
CENTRO EDUCATIVO BETANIA,1,0.04
COLEGIO CRISTIANO ELIM,1,0.04
LICEO CHAAB'IL B'E,1,0.04
COLEGIO BILINGÜE BET-LUZ,1,0.04
LICEO GUATEMALTECO 502,1,0.04
CENTRO EDUCATIVO PRIVADO STEPS,1,0.04
INSTITUTO MIXTO PRIVADO  SANTO DOMINGO,1,0.04
INSTITUTO PRIVADO MIXTO SANTO DOMINGO,1,0.04
INSTITUTO DE TURISMO Y AVIACION DEL NORTE ITAN,1,0.04
COOPERACION MESOAMERICANA PARA EL DESARROLLO Y LA PAZ -COMADEP-,1,0.04
COLEGIO  NUESTRA SEÑORA DE LA ESPERANZA,1,0.04
COLEGIO  LA LIBERTAD,1,0.04
INSTITUTO MIXTO  NUEVOS HORIZONTES,1,0.04
INSTITUTO NORMAL PREPRIMARIA BILINGUE ADSCRITO AL INSTITUTO NORMAL MIXTO DEL NORTE 'EMILIO ROSALES PONCE',1,0.04
INSTITUTO PRIVADO MIXTO  MONJA BLANCA,1,0.04
INSTITUTO PRIVADO BASICO Y BACHILLERATO POR MADUREZ 'CARLOS V',1,0.04
INSTITUTO DE BACHILLERATO ADS. AL INSTITUTO NORMAL MIXTO DEL NORTE EMILIO ROSALES PONCE,1,0.04
COLEGIO PRIVADO MIXTO TECNOLÓGICO EN INFORMATICA,1,0.04
COLEGIO PARTICULAR MIXTO  IMPERIAL,1,0.04
LICEO DE COMPUTACION Y EDUCACION PARA EL HOGAR M.B.M.,1,0.04
COLEGIO MIXTO EVANGELICO NAZARENO,1,0.04
ESCUELA DE FORMACION AGRICOLA,1,0.04
COLEGIO BILINGUE DE INFANTES,1,0.04
COLEGIO PARTICULAR MIXTO VERAPAZ,1,0.04
ASOCIACION DE MAESTROS DE EDUCACION RURAL DE GUATEMALA (AMERG),1,0.04
<<FALTANTE>>,1,0.04
COLEGIO FUTURO AMANECER,1,0.04
INSTITUTO TECNOLOGICO VOCACIONAL MARCO TULIO DE LA CRUZ MORALES,1,0.04
INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA CON ORIENTACION EN ARTES Y OFICIOS,1,0.04
"INSTITUTO TECNOLOGICO VOCACIONAL ""MARCO TULIO DE LA CRUZ MORALES""",1,0.04
"INSTITUTO TECNOLÓGICO VOCACIONAL ""MARCO TULIO DE LA CRUZ MORALES""",1,0.04
ESCUELA PRIVADA MIXTA NOCTURNA DE COMERCIO,1,0.04
COLEGIO MIXTO CIENCIAS TECNOLOGICAS,1,0.04
INSTITUTO TECNOLÓGICO VOCACIONAL MARCO TULIO DE LA CRUZ MORALES,1,0.04
LICEO SAN CRISTÓBAL,1,0.04
"COLEGIO DE FORMACIÓN TÉCNICO PROFESIONAL ""NEXUS""",1,0.04
COLEGIO 'MESON',1,0.04
COLEGIO CRISTIANO PARTICULAR MIXTO AGUA DE VIDA,1,0.04
COLEGIO NUESTRA SEÑORA DE LA ASUNCION,1,0.04
INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA  LICEO TACTIC  JV,1,0.04
INSTITUTO  AKALTIC,1,0.04
COLEGIO PRIVADO MIXTO  LA ENSEÑANZA,1,0.04
INSTITUTO MIXTO MUNICIPAL DE MAGISTERIO BILINGUE,1,0.04
"CENTRO DE FORMACION ACADEMICA, TECNOLOGICA Y OCUPACIONAL ""JACK & MARIE EITING""",1,0.04
"CENTRO DE FORMACION ACADÉMICA, TECNOLÓGICA Y OCUPACIONAL JACK & MARIE EITING",1,0.04
INSTITUTO PRIVADO MIXTO DE MAGISTERIO BILINGUE TUKUR,1,0.04
INSTITUTO PARTICULAR DE EDUCACION A DISTANCIA KAB LAJU B E,1,0.04
COLEGIO  MIXTO VALLE DEL POLOCHIC,1,0.04
LICEO TECNOLÓGICO CAHABONCITO -LITEC-,1,0.04
CENTRO EDUCATIVO SAN MARTIN DE PORRES,1,0.04
INSTITUTO PRIVADO MIXTO PRIMARIA BILINGUE AJ KUTUNEL,1,0.04
CENTRO EDUCATIVO SAN MATEO,1,0.04
"CENTRO DE ESTUDIOS PREUNIVERSITARIO ""CEPREC-LANQUIN""",1,0.04
INSTITUTO PRIVADO MIXTO DE MAGISTERIO BILINGUE NAUQ,1,0.04
INSTITUTO PRIVADO MIXTO DE FORMACION MAGISTERIAL CON ORIENTACION BILINGUE,1,0.04
INSTITUTO ADOLFO V. HALL DEL NORTE,1,0.04
"LICEO ""SAN PABLO""",1,0.04
COLEGIO STHELLA DE HERNANDEZ,1,0.04
COLEGIO PARTICULAR MIXTO SAN JOSÉ,1,0.04
COLEGIO STHELLA DE HERNÁNDEZ,1,0.04
INSTITUTO DE EDUCACIÓN BÁSICA BILINGUE INTERCULTURAL LA TRINIDAD,1,0.04
"INSTITUTO DE EDUCACIÓN BÁSICA BILINGUE INTERCULTURAL ""LA TRINIDAD""",1,0.04
LICEO DE SUPERACIÓN A DISTANCIA VERAPACENSE,1,0.04
COLEGIO SALESIANO DON BOSCO,1,0.04
"INSTITUTO DE EDUCACION BASICA BILINGÜE INTERCULTURAL ""LA TRINIDAD""",1,0.04
CENTRO EDUCATIVO PARTICULAR DON BOSCO,1,0.04
CENTRO EDUCATIVO DON BOSCO TZACANIJA,1,0.04
CENTRO EDUCATIVO PRIVADO  TALITA KUMI,1,0.04
INSTITUTO TECNICO EXPERIMENTAL DE RECURSOS NATURALES,1,0.04
COLEGIO PARTICULAR MIXTO ISAIAS BARRIENTOS,1,0.04
"COLEGIO PARTICULAR MIXTO ""ISAIAS BARRIENTOS""",1,0.04
"LICEO COEDUCATIVO PRIVADO ""JAVIER DE LA VERAPAZ""",1,0.04
COLEGIO SAN FRANCISCO JAVIER DE LA VERAPAZ,1,0.04
LICEO DE BACHILLERATO EN COMPUTACION Y EDUCACION PARA EL HOGAR 'MBM' JM,1,0.04
LICEO PRE-UNIVERSITARIO DEL NORTE,1,0.04
CENTRO EDUCATIVO MENONITA Q EQCHI  BEZALEEL,1,0.04
INSTITUTO MIXTO DE EDUCACIÒN BILINGÜE INTERCULTURAL IMEBI,1,0.04
CENTRO DE ESTUDIOS PREUNIVERSITARIOS CAHABON -CEPREC-,1,0.04
LICEO LEONARDO DA VINCI L L D,1,0.04
INSTITUTO AGROECOLÓGICO DE EDUCACIÓN BILINGUE FRAY DOMINGO DE VICO,1,0.04
FUNDACIÓN FRAY DOMINGO DE VICO,1,0.04
CENTRO DE ESTUDIOS PREUNIVERSITARIO CAHABON -CEPREC-,1,0.04
