DIRECCION,Frecuencia,Porcentaje
"3A. AVENIDA, 25-98, COLONIA VILLA LOBOS I, ZONA 12",1,0.01
"3A. CALLE, 8-72, SAN JOSE, ZONA 2",1,0.01
ALDEA LAS CONCHAS,1,0.01
4A. CALLE A 4-32 ZONA 8,1,0.01
"3A. CALLE 3-74, ZONA 3",1,0.01
5A CALLE 9-16 ZONA 1,1,0.01
9ª. AVENIDA A  1-32 ZONA 1 VILLA NUEVA,1,0.01
"3A. CALLE, 13-80, ZONA 1",1,0.01
"1A. CALLE 6-91, ZONA 6",1,0.01
"1A. CALLE, 0-95, ZONA 1",1,0.01
"5A. CALLE 1-06, ZONA 3",1,0.01
4A AVENIDA 4-34 ZONA 1,1,0.01
LOTIFICACION CHIVENCORRAL,1,0.01
"1A CALLE 17-41 COMUNIDAD PETET CHIXIC, ZONA 12",1,0.01
"CALZADA RABIN AJAU, ZONA 1",1,0.01
ALDEA SALACUIM,1,0.01
7A. CALLE A 14-90 ZONA 2,1,0.01
0 AVENIDA 0-07 COLONIA PRADOS DE SONORA,1,0.01
ALDEA CHOVAL,1,0.01
"4TA. AVENIDA, 3-10, ZONA 2, SAN JOSE VILLA NUEVA",1,0.01
"7A. AVENIDA, 7-55, ZONA 3, BARCENAS",1,0.01
4A CALLE A 49-84 RESIDENCIALES NACIONES UNIDAS II ZONA 10,1,0.01
"10A AVENIDA, 5-02 ZONA 4, COLONIA LINDA VISTA",1,0.01
"3 AVENIDA 8-55, ZONA 5, COLONIA ENRIQUETA",1,0.01
5A. CALLE 7-52 Y 5A. CALLE 7-62 ZONA 1,1,0.01
"KM. 9 CARRETERA AMATITLAN, ZONA 12",1,0.01
"11 CALLE 5-52, ZONA 5, COLONIA ENRIQUETA",1,0.01
"2A CALLE, 11-58, BARCENAS, ZONA 3",1,0.01
"LOTE 33, RESIDENCIALES LA SELVA, ZONA 8",1,0.01
6A. AV. 10-68 ZONA 12 COLONIA EL ESFUERZO I,1,0.01
LOTE 39 COLONIA JACARANDA SAN JOSE VILLA NUEVA,1,0.01
"4ª. AVENIDA 6-40, ZONA 1, VILLA NUEVA, GUATEMALA",1,0.01
"4A. AVENIDA 6-40, ZONA 1",1,0.01
ALDEA NIMLAJACOC,1,0.01
5TA. AVENIDA 2-23 ZONA 4,1,0.01
"5A. CALLE 7-52 Y 5A. CALLE 7-62, ZONA 1",1,0.01
"CALZADA AGUILAR BATRES, 45-55, ZONA 12",1,0.01
"2A. CALLE, 0-20, ZONA 1, KILOMETRO 17.9",1,0.01
"4A. CALLE, 5-75, ZONA 4, COLONIA ETERNA PRIMAVERA",1,0.01
"3A. AVENIDA, 7-89, ZONA 8, LOTE 2 A, CALLE AMAZONAS VI",1,0.01
"5A. CALLE, 2-30, ZONA 8, LA SELVA",1,0.01
"2A. AVENIDA, 2-99, ZONA12, COLONIA LAS MARGARITAS",1,0.01
"3A. CALLE, 15-81, ZONA 4, ASENTAMIENTO MARIO ALIOTO",1,0.01
"EJE 8, CASAS 1 Y 2, SECTOR JACARANDAS, LANES DE BARCENAS, ZONA 3",1,0.01
"EJE 8, CASAS 1 Y 2, SECTOR JACARANDAS, PLANES DE BARCENAS, ZONA 3",1,0.01
"2DA. AV. 4-43 CIUDAD REAL I, ZONA 12",1,0.01
1A CALLE FINAL 6-95 COLONIA MEZQUITAL ZONA 12,1,0.01
"6A. CALLE, 5-56, ZONA 6, RESIDENCIALES CATALINA, Y 5A. CALLE, 5-81, CALLEJON LA JOYA, ZONA 6",1,0.01
5TA CALLE 3-22 ZONA 5 COLONIA ENRIQUETA,1,0.01
"6 AVENIDA 2-22 ZONA 8, CIUDAD PERONIA CIUDAD PERONIA",1,0.01
"5A CALLE 1-98, ZONA 3",1,0.01
1ERA. CALLE 1-65 ZONA 5,1,0.01
"5TA. CALLE A, 6-50 LOS PLANES, ZONA 5",1,0.01
2DA. AVENIDA 5-93 ZONA 1,1,0.01
BARRIO EL  CAMPO,1,0.01
3A. CALLE 2-61 ZONA 1,1,0.01
"1OA. AVENIDA 12-72 ZONA 5, COLONIA RENACIMIENTO",1,0.01
3A. AVENIDA CINCO GUION DOCE (5-12),1,0.01
"7A. CALLE 6-09 ZONA 5, LOS PLANES",1,0.01
"7A. CALLE A 3-73 ZONA 3, SANTA ISABEL I",1,0.01
"53 CALLE 3-26, ZONA 12 COLONIA VILLA LOBOS II",1,0.01
"3A. CALLE A, 5A. AVENIDA, ZONA 3, COLONIA ULISES ROJAS",1,0.01
"16 AVENIDA, 5-58, ZONA 4",1,0.01
"13 AVENIDA A, 14-46, COLONIA SAN RAFAEL ZONA 2",1,0.01
"LOTE 5, COLONIA INTA, ZONA 3, BARCENAS",1,0.01
1A. AV. 4-24 ZONA 2,1,0.01
"6ª. CALLE A, 5-30, LOTE 352, COVINTA",1,0.01
"8 CALLE 1-28 ZONA 3, BÁRCENAS",1,0.01
"7A. AVENIDA 18-45, 18-69 Y 6A. C 18-46, RESIDENCIALES FUENTES DEL VALLE II",1,0.01
3A. AV. 5-12 ZONA 4,1,0.01
7A. AV. 2-18 D ZONA 1,1,0.01
"1A, AVENIDA 4-24 ZONA 2",1,0.01
2DA. CALLE 16-94 ZONA 4,1,0.01
"3A. CALLE REAL 8-72, ZONA 2 SAN JOSE VILLA NUEVA",1,0.01
2A. CALLE 0-20 ZONA 1,1,0.01
"7A. AVENIDA 7-55, ZONA 3, BÁRCENAS",1,0.01
"4A. AVENIDA 2-57, ZONA 4, COLONIA VENECIA II",1,0.01
10 AVENIDA 1-25 ZONA 3,1,0.01
"2A.. AVENIDA 4-60, ZONA 12, COLONIA CIUDAD REAL I",1,0.01
"2A. AVENIDA 4-60, ZONA 12, COLONIA CIUDAD REAL I",1,0.01
"12. CALLE ENTRE 15 Y 16 AVENIDA, COLONIA LOS PLANES DE FRUTAL, ZONA 6",1,0.01
"7A. AVENIDA 5-12 ZONA 5, COLONIA LOS PLANES",1,0.01
"6ª. CALLE, 2-87, ZONA  4, COLONIA VENECIA I",1,0.01
"9 AVENIDA ""B"" 19-24 ZONA 5, FUENTES DEL VALLE 2",1,0.01
"2A. CALLE ""A"" 11-10, ZONA 1",1,0.01
4 CALLE 10-69 ZONA 1,1,0.01
3  CALLE 13-80 ZONA 1,1,0.01
3  CALLE 13-80 ZONA 1 VILLA NUEVA,1,0.01
"12 AVENIDA 2-12, ZONA 1",1,0.01
"10 AVENIDA 10-55, ZONA 2, COLONIA SAN JOSE VILLA NUEVA",1,0.01
"10A. AVENIDA 10-55, ZONA 2",1,0.01
"13A. AVENIDA ""A"" 14-46 ZONA 2, COLONIA SAN RAFAEL RAMÍREZ",1,0.01
"13A. AVENIDA ""A"" 14-46, ZONA 2, COLONIA SAN RAFAEL RAMÍREZ",1,0.01
BOULEVARD EL FRUTAL 14-00 ZONA 5,1,0.01
3A. AVENIDA 25-48 ZONA 12,1,0.01
"3A. AVENIDA 24-12 ZONA 12, COLONIA VILLA LOBOS I",1,0.01
"6A. CALLE 6-58, ZONA 1",1,0.01
"CALZADA AGUILAR BATRES 49-00, ZONA 11, COLONIA CASTAÑAS",1,0.01
"10A. AVENIDA A, 18-52 ZONA 5, RESIDENCIALES FUENTES DEL VALLE 2",1,0.01
"10A. AVENIDA 5-94, ZONA 4, COLONIA LA BARCA PRIMAVERA",1,0.01
"2A. CALLE 12-23, ZONA 4",1,0.01
5A. CALLE 7-52 ZONA 1,1,0.01
"12A. AVENIDA 2-32 ZONA 3, BÁRCENA",1,0.01
"DIAGONAL 1 1-26, ZONA 1 COBÁN",1,0.01
"DIAGONAL 3 14-11, ZONA 2",1,0.01
"3A. AVENIDA 53-36 ZONA 12, COLONIA VILLA LOBOS II",1,0.01
5A. CALLE 15-20 ZONA 4,1,0.01
"22A. CALLE 7-37, ZONA 5, RESIDENCIALES FUENTES DEL VALLE II",1,0.01
"3ERA. CALLE 9-01 ZONA 2, COLONIA SAN JOSE",1,0.01
"9A. AVENIDA A, 1-32 ZONA 1",1,0.01
"6A. CALLE A Y 11A. AVENIDA 6-91, ZONA 3, BÁRCENA",1,0.01
"6A. CALLE 2-87, ZONA 4, COLONIA VENENCIA I",1,0.01
"3A. AVENIDA 25-48 ZONA 12, VILLA LOBOS I",1,0.01
"MANZANA B, SECTOR 2, LOTES 57 Y 58, ZONA 12, LAS MARGARITAS",1,0.01
"8A. 6-55 ZONA 3, COLONIA BÁRCENA",1,0.01
"3A. AVENIDA 8-32, ZONA 10",1,0.01
"3A. AVENIDA 5-12, ZONA 4",1,0.01
7 CALLE 5-85 ZONA 1 VILLA NUEVA,1,0.01
"3A. AVENIDA 25-48, ZONA 12, VILLA LOBOS",1,0.01
2A. CALLE 1-99 ZONA 4 COBAN,1,0.01
"6A. AVENIDA 8-90 ZONA 2, SAN JOSE",1,0.01
"LOTE 1, MANZANA H, SECTOR 4, ZONA 8, RESIDENCIALES JERUSALÉN",1,0.01
"KILOMETRO 20.5, ANTIGUA CARRETERA A AMATITLÁN, INTERIOR VILLA ROMANA, ZONA 1",1,0.01
"1A. CALLE 7-65 ZONA 5, COLONIA LOS PLANES",1,0.01
"18A. AVENIDA A 7-63, LOTE 18, ZONA 6, RESIDENCIALES PLANES DEL FRUTAL",1,0.01
7A. AVENIDA 7-55 ZONA 3,1,0.01
2A. CALLE 2-43,1,0.01
"LOTE 8, FRACCION 2, ZONA 4, GRANJAS ITALIA",1,0.01
7A. CALLE 3-40 ZONA 1,1,0.01
2A. CALLE 1-99 ZONA 4,1,0.01
8A. AVENIDA 7-51 MEZQUITAL ZONA 12,1,0.01
"6A. CALLE A Y 11A. AVENIDA 6-91, BARCENA",1,0.01
"LOTE 29, MANZAJA J, SECTOR 1, LAS TERRAZAS, ZONA 8, CIUDAD PERONIA",1,0.01
"13A. AVENIDA 22-55 ZONA 12, COLONIA VILLA LOBOS I",1,0.01
"6A. CALLE 2-87 ZONA 4, COLONIA VENECIA I",1,0.01
7A. CALLE 5-85 ZONA 1,1,0.01
"9A. CALLE 5-97 ZONA 2, VILLAS DE LAS ROSAS",1,0.01
"7A. CALLE A, 3-73, ZONA 5, COLONIA LOS PLANES",1,0.01
"7A. CALLE A 3-73, ZONA 3, COLONIA SANTA ISABEL I",1,0.01
"4A. CALLE 5-75 ZONA 4, COLONIA ETERNA PRIMAVERA",1,0.01
10 AVENIDA 4-81 ZONA 3 BARCENA VILLA NUEVA,1,0.01
"5A. CALLE 2-30 ZONA 8, LA SELVA",1,0.01
"LOTE 2 A, CALLE AMAZONAS VI",1,0.01
"53 CALLE 3-26 ZONA 12, COLONIA VILLA LOBOS II",1,0.01
"2A. AVENIDA 2-99 ZONA 12, COLONIA LAS MARGARITAS",1,0.01
"3A. CALLE 15-81 ZONA 4, ASENTAMIENTO MARIO ALIOTO",1,0.01
"4A. AVENIDA 2-27 COLONIA ETERNA PRIMAVERA, ZONA 4",1,0.01
5A. CALLE 7-41 ZONA 1,1,0.01
"3A. AVENIDA 25-18, COLONIA VILLA LOBOS I, ZONA 12",1,0.01
"10A. CALLE 5-05 ZONA 6, RESIDENCIALES CATALINA",1,0.01
"2A. AVENIDA 4-60 CIUDAD REAL I, ZONA 12",1,0.01
"6A. AVENIDA 0-85, CIUDAD REAL I",1,0.01
"13A. AVENIDA A 14-46 ZONA 2, COLONIA SAN RAFAEL RAMIREZ",1,0.01
"3A. AVENIDA 24-12, COLONIA VILLA LOBOS I",1,0.01
"2A. AVENIDA 1-29 COLONIA BETHANCOURTH, ZONA 4",1,0.01
8A. AVENIDA 02-43 ZONA 1,1,0.01
"12A. AVENIDA 3-73, ZONA 1",1,0.01
"6A. AVENIDA 2-22, CIUDAD PERONIA ZONA 8",1,0.01
6A. CALLE 5-56 RESIDENCIALES CATALINA,1,0.01
6A. CALLE 6-58 ZONA 1,1,0.01
"10A. AVENIDA 5-02 ZONA 4, COLONIA LINDA VISTA",1,0.01
BARRIO CHIVENCORRAL ZONA 12,1,0.01
"9A. AVENIDA B, 19-88, FUENTES DEL VALLE 2, ZONA 5",1,0.01
"7A. CALLE A 01-46 ZONA 2, RESIDENCIALES SAN JOSÉ EL PLACER",1,0.01
"1A. CALLE 7-67 ZONA 5, COLONIA LOS PLANES",1,0.01
SAN BENITO I,1,0.01
"6A. AVENIDA 8-46 ZONA 6, RESIDENCIALES CATALINA",1,0.01
1A. AVENIDA 5-56 ZONA 2,1,0.01
"DIAGONAL 3, 11-04, ZONA 2",1,0.01
"18 AVENIDA A 1-58 ZONA 3 RESIDENCIALES ALAMEDAS DE SANTA CLARA  SECTOR LAS MARGARITAS VILLA NUEVA, GUATEMALA",1,0.01
4TA. AVENIDA 2-57 ZONA 4 COLONIA VENECIA 2 VILLA NUEVA COLONIA VENECIA 2 VILLA NUEVA,1,0.01
8A. AVENIDA 4-39 ZONA 4,1,0.01
"3 AVENIDA 25-48 ZONA 12, COLONIA VILLA LOBOS 1, VILLA NUEVA",1,0.01
9A. AVENIDA 2-22 ZONA 1,1,0.01
7A. CALLE 11-233 ZONA 6,1,0.01
"MANZANA I LOTE 7, 2 AVENIDA ZONA 2 COMUNIDAD CARMEN DEL MONTE",1,0.01
ALDEA COPAL AA LA ESPERANZA,1,0.01
0 AVENIDA A 49-99 ZONA 11 COLONIA CASTAÑAS,1,0.01
5A. CALLE 9-02 ZONA 4 CIUDAD DEL SOL,1,0.01
ALDEA NUEVO AQUIL,1,0.01
4 AVENIDA 4-76 COLONIA ULISES ROJAS BARCENAS VILLA NUEVA,1,0.01
"DIAGONAL 3, 15 AVENIDA, DE LA ZONA 02",1,0.01
"5TA. AVENIDA 2-76 ZONA 4 COLONIA ETERNA PRIMAVERA, VILLA NUEVA",1,0.01
2 AVENIDA 1-29 COLONIA BETANCOURTH ZONA 4 VILLA NUEVA,1,0.01
5A. CALLE 9-02 ZONA 4 COLONIA CIUDAD DEL SOL,1,0.01
9A. CALLE 5-67 ZONA 2 COLONIA VILLA DE LAS ROSAS SAN JOSÉ VILLA NUEVA,1,0.01
"CALZADA AGUILAR BATRES 45-55, ZONA 12, VILLA NUEVA",1,0.01
CASERÍO SANTA LUCIA LACHUA,1,0.01
CASERÍO SAN LUIS VISTA HERMOSA,1,0.01
"CALZADA AGUILAR BATRES 39-75, ZONA 12",1,0.01
5A AVE. 4-58 ZONA 1,1,0.01
ANEXO I CASA No.14 COLONIA CIUDAD REAL II,1,0.01
13 AVENIDA 2-12 ZONA 2,1,0.01
3A CALLE 5-43 ZONA 4 COLONIA VENECIA II,1,0.01
2A AVE. 2-43 ZONA 1,1,0.01
1A. CALLE 3-25 ZONA 1,1,0.01
14 AV 5-56 COLONIA LINDA VISTA,1,0.01
1A. CALLE 13-04 ZONA 3,1,0.01
"BOCA DEL MONTE, VILLA CANALES, GUATEMALA",1,0.01
9ª. AVENIDA A 1-32 ZONA 1 VILLA NUEVA,1,0.01
1 CALLE 5-89 ZONA 6 VILLA NUEVA,1,0.01
5TA. CALLE 1-06 ZONA 3,1,0.01
10A. AV. 'A' 3-57 ZONA 1,1,0.01
"BOULEVARD PRINCIPAL LAS TERRAZAS, CIUDAD SAN CRISTOBAL",1,0.01
3A. AVENIDA 5-28 ZONA 4,1,0.01
"5 AVE Y 5 CALLE ESQUINA, COLONIA ENRIQUETA",1,0.01
4A CALLE 6-91 ZONA 1,1,0.01
SAN ANTONIO EL FRUTAL ZONA 6,1,0.01
"5A CALLE 4-96 ZONA 11 COL CASTAÑAS, VILLA NUEVA. GUATEMALA",1,0.01
6AV. 3-54 ZONA 1,1,0.01
12AV. 2-32 ZONA 3 BARCENAS,1,0.01
6AV. 6-54 ZONA 1 VILLA NUEVA,1,0.01
5A. CALLE 2-57 ZONA 1,1,0.01
"5 CALLE 2-57 ZONA 1 VILLA NUEVA, GUATEMALA",1,0.01
"4A. AVENIDA 1-65, COLONIA VENECIA II ZONA 4",1,0.01
1A. CALLE 5-89 ZONA 6,1,0.01
"3A. AVENIDA 25-37, ZONA 12 COLONIA VILLALOBOS I",1,0.01
"2A. AV. 4-60 ZONA 12, CIUDAD REAL I",1,0.01
2A. CALLE 6-41 ZONA 4,1,0.01
1A. A 2-09 ZONA 2,1,0.01
COBAN,1,0.01
4TA. AVE. 4-34 ZONA 1,1,0.01
"12 CALLE LOTE B, LO DE RAMIREZ, BARCENAS",1,0.01
COLONIA EL ESFUERZO I ZONA 12,1,0.01
10A CALLE 5-05 RESIDENCIALES CATALINA ZONA 6,1,0.01
BARRIO LA LIBERTAD ZONA 10,1,0.01
5A. AV. 3-22 ZONA 5 COLONIA ENRIQUETA,1,0.01
1AV. A  2-09 ZONA 2 SAN JOSE VILLA NUEVA,1,0.01
5A. AVE. 11-13 ZONA 5 COLONIA ENRIQUETA,1,0.01
"6A. AVENIDA 1-15, ZONA 4",1,0.01
7A. AVE. 7-55 ZONA 3,1,0.01
2A.CALLE 2-43 ZONA 1,1,0.01
9A. AVE. A 1-22 ZONA 1,1,0.01
2A. CALLE 11-20 ZONA 2,1,0.01
9A.CALLE 8-25 ZONA 6 RESIDENCIALES CATALINA,1,0.01
"6A. AVENIDA 8-90 ZONA 2, SAN JOSE VILLANUEVA",1,0.01
1A. AVENIDA 'A' 2-09 ZONA 2. SAN JOSE,1,0.01
10A. CALLE 5-05 ZONA 6 RESIDENCIALES CATALINA,1,0.01
6TA. CALLE 11-49 ZONA 3 ALDEA BARCENA,1,0.01
1A. AVENIDA 'A' 2-09 ZONA 2 SAN JOSE VILLA NUEVA,1,0.01
10A. AVENIDA 3-95 ZONA 3 ALDEA BARCENAS,1,0.01
"1A. AVENIDA 1-36 ZONA 1, BOCA DEL MONTE",1,0.01
1A. CALLE 6-91 ZONA 6,1,0.01
9A. CALLE 8-25 ZONA 6 RESIDENCIALES CATALINA,1,0.01
5A. AVE. 7-51 ZONA 5 COL. LOS PLANES VILLA NUEVA,1,0.01
3AVENIDA 6-23 ZONA 11,1,0.01
"5A. CALLE 1-98, ZONA 3.",1,0.01
23 CALLE 14-50 ZONA 12 VILLA LOBOS I,1,0.01
2A. AV. 1-29 COLONIA BETANCOURT ZONA 4,1,0.01
"5A. AVENIDA 7-48, COLONIA MEZQUITAL, ZONA 12",1,0.01
4A. CALLE 10-69 ZONA 1 VILLA NUEVA,1,0.01
3AV. 1-23 ZONA 4,1,0.01
3AV. 3A. CALLE DE LA ZONA 2,1,0.01
"7A. AVENIDA 7-55, BARCENAS, ZONA 3",1,0.01
"3A. AVENIDA 52-04 ZONA 12, VILLALOBOS II",1,0.01
CALZADA RABIN AJAU ZONA 11,1,0.01
"1 AVENIDA 2-61 ZONA 7, RESIDENCIALES COLINAS DE MONTE MARIA",1,0.01
6A. CALLE 11-49 ZONA 3,1,0.01
6A. CALLE 11-49 ZONA 3 ALDEA BARCENAS,1,0.01
"3A. AVAENIDA 52-04 ZONA 12, VILLA LOBOS II",1,0.01
13 AV. 7-39 ZONA 1,1,0.01
4TA. AV. 4-34 ZONA 1,1,0.01
5A. AV. SUR FINAL COLONIA VENECIA II,1,0.01
"19 CALLE 11-85 ZONA 5, RESIDENCIALES FUENTES DEL VALLE II",1,0.01
"1A. CALLE 15-73, ZONA 3, COLONIA SANTA ISABEL II",1,0.01
6A. CALLE 8-10 ZONA 10 CERRITO EL CARACOL COBÁN,1,0.01
9A. CALLE 17-48 ZONA 6 PLANES DEL FRUTAL,1,0.01
6A. AVENIDA 7-43 ZONA 6 RESIDENCIALES CATALINA,1,0.01
6A. AV. 6-54 ZONA 1,1,0.01
"SAN ANTONIO EL FRUTAL, ZONA 6",1,0.01
4A. AVENIDA 6-29 ZONA 1 VILLA NUEVA,1,0.01
"8A. AVENIDA 6-51 ZONA 3, BARCENAS",1,0.01
13 AVENIDA 4-00 ZONA 1,1,0.01
"LOTIFICACION VILLA ROMANA, CARRETERA AL PACIFICO",1,0.01
LOTE 10 MANZANA B RECIDENCIALES LLANO ALTO ZONA 6,1,0.01
12 AVENIDA 8-95 ZONA 3,1,0.01
FINCA SAN JOSE LA COLONIA,1,0.01
LOTE 33 RESIDENCIALES LA SELVA CIUDAD SAN CRISTOBAL ZONA 8,1,0.01
6A. CALLE 2-39 ZONA 1,1,0.01
5A. AVENIDA 3-45 COLONIA ENRIQUETA ZONA 5,1,0.01
"10A. AVENIDA 6-72 ZONA 3, BARCENAS",1,0.01
"CALLE RIO USUMACINTA, LOTE 0, CIUDAD PERONIA",1,0.01
3A. CALLE 7-07 ZONA 3,1,0.01
VILLA NUEVA VILLA NUEVA,1,0.01
12AV. 2-12 ZONA 1,1,0.01
"3A. CALLE 1-28, ZONA 1, BOCA DEL MONTE",1,0.01
ALDEA EL JOCOTILLO,1,0.01
"0 AVENIDA 4-01, ZONA 1 ALDEA SANTA ELENA BARILLAS",1,0.01
CALLE PRINCIPAL ALDEA EL JOCOTILLO,1,0.01
"1A. CALLE ""B"" 1-28 ZONA 1, BOCA DEL MONTE",1,0.01
"4A. AVENIDA 5-45 ZONA 3, CANTON EL MATAZANO, BOCA DEL MONTE",1,0.01
KM.209.5 ENTRADA A COBAN,1,0.01
"6A. CALLE 2-35 ZONA 1, BOCA DEL MONTE",1,0.01
"3A. AVENIDA 2-28, ZONA 1, BOCA DEL MONTE",1,0.01
"KILOMETRO 19.9, CARRETERA A EL SALVADOR, LOS MANZANILLOS",1,0.01
"3A. AVENIDA 3-41 ZONA 3, CANTÓN EL MATAZANO ALDEA BOCA DEL MONTE",1,0.01
1A. AVENIDA 2-99 ZONA 1,1,0.01
2A. CALLE 4-61 ZONA 4,1,0.01
1A. AVENIDA 5-52 ZONA 2,1,0.01
6TA. AVENIDA 1-27 ZONA 4,1,0.01
3A. AVENIDA 2-08 ZONA 1,1,0.01
1A. CALLE 2-60 ZONA 1 ALDEA BOCA DEL MONTE,1,0.01
"CALLE 3 DE MAYO 2-67 ZONA 2, BARRIO SANTO TOMAS",1,0.01
"4A. CALLE 6-22, SECTOR LOS MANZANILLOS, ZONA 3",1,0.01
KM. 10.5 AVENIDA HINCAPIÉ CARRETERA A VILLA CANALES,1,0.01
"5A. AVENIDA ""C"" 4-65 ZONA 2 ALDEA BOCA DEL MONTE",1,0.01
"CALLE 3 DE MAYO 2-70, ZONA 1",1,0.01
3A. CALLE 3-37 ZONA 1 BOCA DEL MONTE GUATEMALA,1,0.01
"CALLE 3 DE MAYO 2-67, BARRIO SANTO TOMAS",1,0.01
BARRIO CHIYUC,1,0.01
"5A. CALLE 4-18 ZONA 1, BARRIO SANTA ANA, SAN CRISTÓBAL VERAPAZ",1,0.01
1RA. AVENIDA 2-99 ZONA 1  VILLA CANALES GUATEMALA,1,0.01
"1A. AVENIDA ""D"" 7-37 COLONIA LA JOYA ZONA 3 ALDEA BOCA DEL MONTE",1,0.01
6A. CALLE  2-35 ZONA 1 BOCA DEL MONTE GUATEMALA,1,0.01
6A CALLE 2-35 ZONA 1  BOCA DEL MONTE GUATEMALA,1,0.01
6A. AVENIDA 3-29 ZONA 1 ALDEA SANTA ELENA BARILLAS,1,0.01
"2A. CALLE ZONA 4, BARRIO SAN FELIPE",1,0.01
"2A. CALLE ""A"" 4-41 ZONA 1 BOCA DEL MONTE",1,0.01
CASERÍO PANTOCAN,1,0.01
"ALDEA JOCOTILLO, MUNICIPIO VILLA CANALES, DEPARTAMENTO GUATEMALA ALDEA",1,0.01
ALDEA JOCOTILLO,1,0.01
4TA AVE. 4-50 ZONA 3 ALDEA BOCA DEL MONTE,1,0.01
"PARCELAMIENTO SAN RAFAEL, ALDEA EL JOCOTILLO",1,0.01
3A AVE. 7-27 ZONA 1,1,0.01
"ALDEA BOCA DEL MONTE, 4A AVE. 2-51 ZONA 1",1,0.01
1a. AV. 5-77 ZONA 2,1,0.01
"2A. CALLE 3-61 ZONA 1, BOCA DEL MONTE",1,0.01
4TA CALLE 1-66 'A',1,0.01
1AV. 2-22,1,0.01
3A. AVE. 2-09 VILLA CANALES,1,0.01
1A. AVE. NORTE 4-27 ZONA 2 ALDEA BOCA DEL MONTE,1,0.01
1A. CALLE B 1-70 ZONA 1 BOCA DEL MONTE,1,0.01
1A. AVENIDA 4-27 ZONA 2 ALDEA BOCA DEL MONTE,1,0.01
COLONIA PANTOCÁN,1,0.01
1RA. CALLE B 1-70 ZONA 1 BOCA DEL MONTE,1,0.01
KM. 23.5 CARRETERA A SAN JOSE EL TABLON,1,0.01
"KM 25.5 CARRETERA A EL SALVADOR, FINCA LA LABOR EL ROSARIO",1,0.01
1A. AVENIDA 5-77 ZONA 2 ALDEA BOCA DEL MONTE,1,0.01
"0 AVENIDA 7-03, ZONA 3, BARRIO SAN CRISTÓBAL",1,0.01
1A. AVENIDA A 1-36 ZONA 1,1,0.01
3A. AV. 3-41 ZON 3,1,0.01
"CASA 5-I, COLONIA PANORAMA DEL VALLE, LOS DOLORES",1,0.01
7A. 2-78 ZONA 1 ALDEA SANTA ELENA BARILLAS,1,0.01
"2A. CALLE ""A"" 4-41 ZONA 1 ALDEA BOCA DEL MONTE",1,0.01
"4A. CALLE 3-32 ZONA 1, BOCA DEL MONTE",1,0.01
"1A. AVENIDA 2-61 ZONA 3, ALDEA BOCA DEL MONTE",1,0.01
"LOTE 44, MANZANA ""D"", SECTOR 10, PRADOS DE VILLA HERMOSA",1,0.01
"3A. CALLE 0-43 ZONA 3, BARRIO SAN SEBASTIAN",1,0.01
"LOTE 9, MANZANA ""A"", SECTOR 6, ZONA 7, PRADOS DE VILLA HERMOSA",1,0.01
"4A. AVENIDA, ENTRE 0 Y 1 CALLE ZONA 4, BARRIO SAN FELIPE",1,0.01
"16 AVENIDA 2-76, COLONIA RIVERA DEL RIO, ZONA 13",1,0.01
"1A. AVENIDA 0-35 ZONA 6, LOS ALAMOS",1,0.01
CALLE REAL 4-12 ZONA 2,1,0.01
CALZADA DR. RAFAEL MORALES 1RA. AVENIDA A 1-25 ZONA 1,1,0.01
"2A. CALLE 10-06 VALLES I, ZONA 11",1,0.01
"LOTE 64,65 Y 66 MANZANA A SECTOR 10 PRADOS DE VILLA HERMOSA",1,0.01
"29 AVENIDA 19-50 ZONA 7, VILLA HERMOSA I",1,0.01
"2A. CALLE 2A. AVENIDA ZONA 3, BARRIO SAN SEBASTIAN",1,0.01
"3A. CALLE 1-62, ZONA 6 COLONIA LOS ALAMOS",1,0.01
"25 CALLE 28-36, VILLA HERMOSA II, ZONA 7",1,0.01
LOTE 32 MANZANA B SECTOR 10 PRADOS DE VILLA HERMOSA,1,0.01
0 AVE. 5-73 ZONA 6 COLONIA LOS ALAMOS,1,0.01
7A. AVENIDA 0-80 RIVERA DEL RIO ZONA 13,1,0.01
CASERÍO CHILLEY,1,0.01
CANTÓN LAS ARRUGAS,1,0.01
"0 CALLE C, 8-89, ZONA 2",1,0.01
"4TA. CALLE, 1-40, COLONIA LOS ALAMOS, ZONA 6",1,0.01
"LOTE 64, 65 Y 66, MANZANA A, SECTOR 10, PRADOS DE VILLA HERMOSA, ZONA 7",1,0.01
"CALLE PRINCIPAL, 2-18, ZONA 4, SANTA INES",1,0.01
"LOTE 1, MANZANA A, SECTOR 2",1,0.01
"4A. AVENIDA Y 4A. CALLE, ZONA 6, COLONIA LOS ALAMOS",1,0.01
"LOTE 45 MANZANA ""D"" SECTOR 10 PRADOS DE VILLA HERMOSA",1,0.01
"0 AVENIDA 1-71 ZONA 5, BARRIO SAN CRISTOBAL",1,0.01
"LOTE NO. 45, MANZANA ""D"", SECTOR 10 PRADOS DE VILLA HERMOSA",1,0.01
"SECTOR 3, LOTE 15, MANZANA C, VILLA HERMOSA I",1,0.01
"LOTE 64, 65 Y 66, MANZANA A, SECTOR 10 PRADOS DE VILLA HERMOSA",1,0.01
"2A. CALLE 1-24 Y 1-38, ZONA 2",1,0.01
"1A. AVENIDA 00-75, COLONIA LOS ALAMOS, ZONA 6",1,0.01
